iter	Passed	Remaining
0	69	69313
1	147	73576
2	219	72978
3	295	73462
4	367	73168
5	445	73742
6	526	74707
7	603	74864
8	689	75949
9	759	75191
10	845	75987
11	931	76727
12	967	73424
13	1052	74124
14	1083	71156
15	1179	72517
16	1252	72419
17	1330	72576
18	1397	72178
19	1472	72139
20	1547	72127
21	1620	72058
22	1702	72309
23	1777	72287
24	1855	72377
25	1932	72396
26	2011	72481
27	2086	72444
28	2164	72489
29	2226	72003
30	2300	71900
31	2382	72068
32	2458	72055
33	2530	71890
34	2617	72164
35	2698	72247
36	2773	72189
37	2855	72296
38	2934	72307
39	3014	72347
40	3061	71604
41	3140	71623
42	3225	71792
43	3299	71681
44	3375	71626
45	3449	71540
46	3523	71439
47	3602	71458
48	3679	71415
49	3759	71432
50	3832	71311
51	3902	71136
52	3981	71135
53	4051	70973
54	4127	70912
55	4198	70773
56	4269	70635
57	4343	70543
58	4419	70487
59	4494	70412
60	4570	70351
61	4650	70356
62	4727	70319
63	4799	70198
64	4873	70108
65	4946	69998
66	4984	69405
67	5061	69376
68	5138	69338
69	5212	69251
70	5298	69326
71	5380	69349
72	5452	69243
73	5529	69194
74	5599	69058
75	5686	69134
76	5767	69138
77	5845	69091
78	5927	69098
79	6004	69048
80	6081	69001
81	6166	69037
82	6236	68896
83	6311	68829
84	6389	68777
85	6465	68715
86	6542	68662
87	6622	68632
