iter	Passed	Remaining
0	85	85040
1	163	81520
2	236	78645
3	305	76192
4	384	76448
5	462	76547
6	547	77722
7	625	77557
8	694	76497
9	778	77055
10	847	76237
11	919	75705
12	991	75274
13	1062	74808
14	1102	72418
15	1177	72388
16	1255	72575
17	1337	72949
18	1420	73330
19	1505	73779
20	1581	73735
21	1654	73563
22	1726	73321
23	1801	73273
24	1878	73265
25	1906	71422
26	1979	71324
27	2045	70991
28	2115	70828
29	2135	69059
30	2203	68890
31	2280	68988
32	2367	69370
33	2409	68445
34	2477	68317
35	2553	68388
36	2625	68331
37	2702	68407
38	2785	68631
39	2857	68577
40	2926	68451
41	2998	68399
42	3079	68545
43	3158	68616
44	3232	68595
45	3322	68915
46	3398	68909
47	3469	68808
48	3539	68692
49	3623	68841
50	3698	68822
51	3773	68785
52	3845	68702
53	3912	68538
54	3987	68508
55	4061	68465
56	4138	68460
57	4217	68493
58	4288	68405
59	4378	68589
60	4450	68506
61	4526	68481
62	4607	68521
63	4640	67865
64	4719	67886
65	4817	68168
66	4902	68269
67	4935	67645
68	5002	67492
69	5078	67469
70	5154	67438
71	5231	67428
72	5311	67448
73	5401	67595
74	5473	67506
75	5553	67520
76	5632	67516
77	5704	67424
78	5774	67324
79	5862	67419
80	5945	67454
81	6018	67382
82	6099	67391
83	6171	67293
84	6240	67182
85	6310	67072
86	6395	67118
87	6434	66689
88	6505	66592
89	6579	66530
90	6653	66460
91	6730	66423
92	6803	66351
93	6878	66300
94	6961	66318
95	7049	66381
96	7132	66402
97	7193	66211
98	7261	66089
99	7292	65634
100	7361	65520
101	7440	65505
102	7506	65375
103	7589	65389
104	7671	65390
105	7747	65341
106	7825	65306
107	7900	65253
108	7974	65186
109	8042	65068
110	8118	65019
111	8204	65052
112	8279	64989
113	8363	64996
114	8457	65088
115	8544	65114
116	8623	65085
117	8712	65123
118	8796	65126
119	8878	65111
120	8966	65138
121	9048	65120
122	9127	65077
123	9207	65046
124	9285	65000
125	9368	64986
126	9451	64967
127	9552	65073
128	9631	65030
129	9717	65034
130	9801	65019
131	9874	64930
132	9954	64889
133	10029	64819
134	10110	64785
135	10180	64678
136	10264	64656
137	10358	64700
138	10437	64652
139	10470	64315
140	10558	64324
141	10590	63988
142	10670	63949
143	10762	63975
144	10841	63929
145	10921	63885
146	10999	63825
147	11037	63542
148	11064	63191
149	11134	63096
150	11217	63069
151	11308	63087
152	11377	62987
153	11457	62942
154	11547	62953
155	11621	62874
156	11704	62844
157	11788	62821
158	11863	62750
159	11943	62701
160	12021	62644
161	12094	62561
162	12165	62471
163	12241	62402
164	12322	62359
165	12404	62323
166	12488	62293
167	12570	62254
168	12637	62138
169	12707	62040
170	12746	61795
171	12838	61805
172	12924	61784
173	13003	61727
174	13095	61734
175	13168	61652
176	13246	61590
177	13336	61587
178	13411	61512
179	13491	61460
180	13581	61453
181	13623	61229
182	13650	60941
183	13727	60880
184	13811	60846
185	13882	60754
186	13962	60704
187	14042	60653
188	14116	60574
189	14186	60477
190	14255	60381
191	14329	60304
192	14398	60204
193	14457	60065
194	14535	60006
195	14628	60005
196	14708	59953
197	14792	59916
198	14867	59844
199	14903	59613
200	14970	59511
201	15039	59414
