iter	Logloss
0	0.6738703533
1	0.6536659614
2	0.6304216807
3	0.6098717481
4	0.5921055704
5	0.5747323563
6	0.5608965515
7	0.5470760119
8	0.5353851739
9	0.5216021187
10	0.5095733212
11	0.5010366294
12	0.4946458433
13	0.486016723
14	0.4754736621
15	0.4693131477
16	0.4627687302
17	0.456186639
18	0.4475262527
19	0.4420843142
20	0.4349112601
21	0.4287094533
22	0.4232622492
23	0.4185237099
24	0.4129624018
25	0.4075379989
26	0.4041825452
27	0.3987864539
28	0.3945000907
29	0.3928100675
30	0.3881467984
31	0.3833513191
32	0.3787282006
33	0.3751809484
34	0.3713955764
35	0.3676184709
36	0.3621741545
37	0.3575918378
38	0.3531956018
39	0.3492357702
40	0.3459025246
41	0.3427009116
42	0.3402388009
43	0.3371680148
44	0.3333719768
45	0.3308541741
46	0.3281461156
47	0.3260469412
48	0.3223630841
49	0.3202593279
50	0.3180766066
51	0.3157422032
52	0.3120154878
53	0.3091028898
54	0.3064949724
55	0.3036192252
56	0.3013135744
57	0.2988908803
58	0.2978854112
59	0.2959311362
60	0.2938526106
61	0.2921231846
62	0.2901211855
63	0.2878775697
64	0.2854842367
65	0.2842674197
66	0.2828243958
67	0.281033319
68	0.279079034
69	0.2766606296
70	0.2750335441
71	0.2736295655
72	0.2724497557
73	0.2708831129
74	0.2692023894
75	0.2684775857
76	0.2675079103
77	0.2651435419
78	0.2634858749
79	0.2621313692
80	0.2611842425
81	0.2602892249
82	0.259200619
83	0.2583942025
84	0.2576157906
85	0.2556939445
86	0.2538251938
87	0.2527827282
88	0.2526908631
89	0.2515505811
90	0.2507185399
91	0.2499036678
92	0.2486468661
93	0.2476357325
94	0.2464728362
95	0.2458525063
96	0.2453868112
97	0.2440229632
98	0.2436048117
99	0.2426730671
100	0.2412763143
101	0.239924105
102	0.2385668734
103	0.2379045157
104	0.2370094775
105	0.2358049093
106	0.235103586
107	0.2341589545
108	0.2330785476
109	0.2324779898
110	0.2320867808
111	0.2309456411
112	0.2298254365
113	0.2289408842
114	0.2281167239
115	0.2280719651
116	0.2264802287
117	0.2254123504
118	0.2246437312
119	0.2239760318
120	0.2231729888
121	0.2229773126
122	0.2223169613
123	0.2211777487
124	0.2200341078
125	0.2188860293
126	0.2188818825
127	0.2180378006
128	0.2174825861
129	0.2166713718
130	0.2157091896
131	0.215072384
132	0.2143619361
133	0.2135779892
134	0.2126987517
135	0.211865773
136	0.2110994502
137	0.2099887131
138	0.2093420303
139	0.2087509773
140	0.2075867414
141	0.2063670172
142	0.2053664685
143	0.2043807111
144	0.2037448
145	0.203556709
146	0.2032171218
147	0.2025209998
148	0.2012491587
149	0.2005946473
150	0.2005627361
151	0.1994099735
152	0.1989035889
153	0.1976226115
154	0.1966779623
155	0.1966376222
156	0.195680762
157	0.1953395425
158	0.1946148908
159	0.1942265856
160	0.1935253127
161	0.1924866236
162	0.1924261563
163	0.1913738256
164	0.1906890496
165	0.190655071
166	0.190162148
