iter	Logloss
0	0.6735948
1	0.6516142823
2	0.6300536159
3	0.6113460408
4	0.5935575255
5	0.5764789166
6	0.5615929512
7	0.5480507066
8	0.5350304297
9	0.522654366
10	0.5136848202
11	0.5008339178
12	0.4944008145
13	0.484669482
14	0.4754078686
15	0.4691920294
16	0.4607355101
17	0.4533803812
18	0.44740378
19	0.4398156197
20	0.4327513324
21	0.4268621674
22	0.4186757793
23	0.413287781
24	0.4077190553
25	0.4044265667
26	0.3990793671
27	0.3968315151
28	0.3929072706
29	0.3894709124
30	0.3851319798
31	0.3821798097
32	0.3779459163
33	0.3751503634
34	0.3713008935
35	0.3675248238
36	0.3646153663
37	0.3617739204
38	0.359181296
39	0.3567045579
40	0.3527830725
41	0.3486381118
42	0.3459862139
43	0.3437296206
44	0.3415396508
45	0.3384597981
46	0.3364156794
47	0.3345465625
48	0.332177052
49	0.3302830309
50	0.3280433954
51	0.3266924589
52	0.3248385937
53	0.3228065489
54	0.3204032814
55	0.3178953845
56	0.3155348472
57	0.3144376558
58	0.312468227
59	0.3109090571
60	0.3093390705
61	0.3076602051
62	0.3048858191
63	0.3033402256
64	0.3014065841
65	0.2993894699
66	0.2973715285
67	0.2959937775
68	0.2951043783
69	0.2939677053
70	0.2913921047
71	0.290652018
72	0.2890164991
73	0.2881777573
74	0.2872976247
75	0.2859104295
76	0.2849138553
77	0.284075169
78	0.2830005991
79	0.281757126
80	0.2802839696
81	0.2790982673
82	0.2781972254
83	0.2775996552
84	0.276698051
85	0.2748235978
86	0.272633927
87	0.2708895194
88	0.2686447257
89	0.267896042
90	0.2662650455
91	0.2646561696
92	0.2631268396
93	0.2630558752
94	0.261622719
95	0.2602604493
96	0.2592795291
97	0.2581946778
98	0.2567486113
99	0.2559660076
100	0.2543419612
101	0.2535652212
102	0.2525840952
103	0.2515978185
104	0.2505021853
105	0.2495548484
106	0.248804443
107	0.2473653021
108	0.2460560723
109	0.2449176953
110	0.2441126843
111	0.2433441773
112	0.2419081134
113	0.2412846669
114	0.2401408776
115	0.2398323488
116	0.2392041369
117	0.2378101313
118	0.2372707061
119	0.2370576853
120	0.2361457247
121	0.235866847
122	0.2352118222
123	0.2347661734
124	0.2333139014
125	0.2323098835
126	0.2311820615
127	0.2311485901
128	0.2308765035
129	0.2298272322
130	0.2291271115
131	0.2283168041
132	0.2275227339
133	0.2272047293
134	0.2267940987
135	0.2257204193
136	0.2248627875
137	0.2241474623
138	0.223341047
139	0.2222865869
140	0.2216392779
141	0.2210092293
142	0.2201063826
143	0.2197751503
144	0.2191246523
145	0.2189894403
146	0.2183870398
147	0.2175010969
148	0.2163937401
149	0.2157941185
150	0.2150177871
151	0.2142753977
