iter	Passed	Remaining
0	65	65840
1	152	76116
2	224	74721
3	288	71799
4	358	71248
5	431	71493
6	520	73819
7	592	73512
8	668	73577
9	746	73930
10	796	71632
11	874	71990
12	915	69475
13	991	69800
14	1067	70118
15	1143	70294
16	1221	70660
17	1290	70385
18	1359	70183
19	1436	70381
20	1517	70758
21	1602	71220
22	1678	71316
23	1767	71897
24	1858	72489
25	1938	72610
26	2018	72730
27	2064	71669
28	2140	71681
29	2214	71597
30	2296	71778
31	2370	71722
32	2450	71803
33	2529	71864
34	2615	72121
35	2690	72041
36	2771	72145
37	2870	72656
38	2943	72526
39	3014	72357
40	3087	72210
41	3163	72152
42	3232	71940
43	3307	71868
44	3374	71622
45	3460	71766
46	3559	72172
47	3647	72341
48	3722	72241
49	3790	72010
50	3870	72025
51	3937	71788
52	4006	71579
53	4086	71582
54	4158	71445
55	4233	71368
56	4311	71331
57	4382	71175
58	4462	71174
59	4543	71182
60	4634	71339
61	4707	71224
62	4783	71143
63	4852	70973
64	4920	70776
65	4992	70653
66	5064	70528
67	5140	70452
68	5220	70437
69	5289	70268
70	5364	70188
71	5434	70038
72	5510	69970
73	5590	69958
74	5677	70021
75	5754	69964
76	5821	69777
77	5902	69764
78	5982	69746
79	6063	69733
80	6139	69656
81	6219	69627
82	6291	69514
83	6369	69458
84	6448	69418
85	6531	69411
86	6605	69317
87	6687	69305
88	6766	69257
89	6843	69199
90	6921	69136
91	6997	69066
92	7071	68970
93	7100	68440
94	7175	68352
95	7249	68266
96	7328	68226
97	7400	68117
98	7478	68062
99	7555	67998
100	7625	67873
101	7711	67890
102	7784	67789
103	7851	67640
104	7924	67544
105	8013	67584
106	8095	67567
107	8181	67569
108	8255	67480
109	8329	67390
110	8403	67305
111	8467	67133
112	8539	67035
113	8633	67100
114	8815	67838
115	8939	68123
116	9025	68116
117	9097	67996
118	9171	67900
119	9261	67915
120	9344	67883
121	9426	67840
122	9493	67690
123	9564	67571
124	9644	67510
125	9727	67478
126	9809	67431
127	9840	67036
128	9922	66994
129	9992	66875
130	10071	66809
131	10152	66761
132	10229	66685
133	10311	66640
134	10394	66599
135	10466	66496
136	10544	66420
137	10630	66401
138	10708	66329
139	10783	66244
140	10863	66183
141	10953	66183
142	11036	66141
143	11119	66100
144	11190	65984
145	11241	65755
146	11326	65722
147	11418	65733
148	11493	65646
149	11569	65560
150	11652	65515
151	11728	65434
