iter	Passed	Remaining
0	78	78888
1	159	79366
2	231	77038
3	301	75195
4	379	75587
5	469	77746
6	547	77596
7	627	77854
8	695	76539
9	740	73269
10	813	73154
11	870	71647
12	944	71672
13	1015	71546
14	1099	72214
15	1179	72543
16	1254	72560
17	1331	72625
18	1401	72359
19	1475	72293
20	1555	72492
21	1583	70376
22	1621	68899
23	1691	68793
24	1766	68877
25	1847	69202
26	1923	69320
27	1999	69420
28	2021	67670
29	2092	67646
30	2165	67686
31	2242	67831
32	2264	66342
33	2340	66494
34	2447	67467
35	2524	67590
36	2599	67659
37	2674	67698
38	2754	67871
39	2827	67853
40	2893	67689
41	2976	67902
42	3058	68063
43	3142	68281
44	3219	68331
45	3303	68509
46	3390	68738
47	3475	68931
48	3555	69014
49	3629	68951
50	3704	68937
51	3783	68974
52	3853	68849
53	3934	68923
54	4006	68839
55	4081	68797
56	4159	68818
57	4229	68692
58	4304	68657
59	4384	68685
60	4461	68679
61	4537	68642
62	4614	68624
63	4691	68620
64	4769	68613
65	4852	68663
66	4926	68597
67	5006	68624
68	5081	68562
69	5161	68570
70	5240	68573
71	5323	68607
72	5399	68562
73	5469	68439
