iter	Logloss
0	0.6715552904
1	0.6529978517
2	0.6332253995
3	0.6169444818
4	0.5976313291
5	0.5817659086
6	0.5683907035
7	0.5561031706
8	0.5445204514
9	0.5347274017
10	0.5217691867
11	0.5130196572
12	0.502625841
13	0.4931979384
14	0.4832544374
15	0.4752855507
16	0.4667027377
17	0.4561229829
18	0.4482301785
19	0.4392799001
20	0.4309108086
21	0.4266631409
22	0.4221177693
23	0.414249781
24	0.4082400407
25	0.4009914437
26	0.3968204661
27	0.3893870989
28	0.3877024646
29	0.3818808163
30	0.3773630721
31	0.3743354749
32	0.3731208902
33	0.3692335408
34	0.3646338047
35	0.359811973
36	0.3561740311
37	0.3524870625
38	0.3491200313
39	0.3458904936
40	0.341527101
41	0.3393816796
42	0.3366726117
43	0.3327509392
44	0.330682046
45	0.3280923407
46	0.3253439728
47	0.3221944221
48	0.3194541943
49	0.3176822631
50	0.3160891916
51	0.3134415098
52	0.3117720765
53	0.3091915567
54	0.307509063
55	0.3054308277
56	0.303643555
57	0.3021742215
58	0.300166853
59	0.2978802458
60	0.2964102054
61	0.2939809277
62	0.292652341
63	0.2898043874
64	0.2877448305
65	0.2867483617
66	0.2845395455
67	0.2828798164
68	0.2809971269
69	0.2791712233
70	0.2770809951
71	0.2744114825
72	0.2722764428
73	0.2706182399
